Yabalchevo,42.7946,27.2540,Bulgaria,BG,Burgas,,1253,1253
Galabets,42.7689,27.5287,Bulgaria,BG,Burgas,,1252,1252
Chervena Voda,43.8056,26.0989,Bulgaria,BG,Ruse,,1250,1250
Veselinovo,42.5329,26.5448,Bulgaria,BG,Yambol,,1227,1227
Bata,42.7363,27.4917,Bulgaria,BG,Burgas,,1227,1227
Rudartsi,42.5809,23.1677,Bulgaria,BG,Pernik,,1218,1218
Dolni Bogrov,42.7000,23.5000,Bulgaria,BG,Sofia-Grad,,1215,1213
Aldomirovtsi,42.8484,22.9837,Bulgaria,BG,Sofia,,1210,1208
Belogradets,43.3521,27.3312,Bulgaria,BG,Varna,,1208,1192
Karapelit,43.6500,27.5667,Bulgaria,BG,Dobrich,,1201,1201
Novo Selo,43.8022,26.1932,Bulgaria,BG,Ruse,,1199,1199
Sandrovo,43.9327,26.1149,Bulgaria,BG,Ruse,,1186,1183
Yabalkovo,42.0699,25.4411,Bulgaria,BG,Haskovo,,1171,1167
Gabrovnitsa,43.5345,23.2646,Bulgaria,BG,Montana,,1170,1170
Vaglen,43.2944,27.8488,Bulgaria,BG,Varna,,1167,1155
Vardun,43.1340,26.5309,Bulgaria,BG,Targovishte,,1152,1152
Marchaevo,42.5995,23.1703,Bulgaria,BG,Sofia-Grad,,1148,1144
Banitsa,43.3439,23.6902,Bulgaria,BG,Vratsa,,1148,1131
Gorni Bogrov,42.7167,23.5333,Bulgaria,BG,Sofia-Grad,,1147,1147
Semerdzhievo,43.7701,26.1703,Bulgaria,BG,Ruse,,1140,1123
Zaychar,42.7780,27.1697,Bulgaria,BG,Burgas,,1140,1132
Voyvodovo,41.8588,25.5472,Bulgaria,BG,Haskovo,,1130,1130
Malevo,41.8580,25.6301,Bulgaria,BG,Haskovo,,1127,1127
Opalchensko,41.6022,25.3595,Bulgaria,BG,Kardzhali,,1126,1126
Zvezditsa,43.1538,27.8372,Bulgaria,BG,Varna,,1119,1119
Marinka,42.4015,27.4821,Bulgaria,BG,Burgas,,1112,1112
Boboshevo,42.1500,23.0167,Bulgaria,BG,Kyustendil,,1109,1081
Gyulyovtsa,42.7659,27.5998,Bulgaria,BG,Burgas,,1086,1086
Gluhar,41.5953,25.3935,Bulgaria,BG,Kardzhali,,1084,1084
Hadzhievo,42.1424,24.4555,Bulgaria,BG,Pazardzhik,,1071,1071
Pisarevo,43.1558,25.7902,Bulgaria,BG,Veliko Tarnovo,,1070,1066
Vaklinovo,41.5959,24.0636,Bulgaria,BG,Blagoevgrad,,1067,1067
Varbitsa,43.1809,25.8290,Bulgaria,BG,Veliko Tarnovo,,1066,1064
Kladnitsa,42.5680,23.1796,Bulgaria,BG,Pernik,,1062,1062
Patalenitsa,42.1220,24.2022,Bulgaria,BG,Pazardzhik,,1061,1047
Dolen,41.4238,25.1320,Bulgaria,BG,Smolyan,,1058,1058
Dobromir,42.9522,27.2872,Bulgaria,BG,Burgas,,1053,1042
Dobri Dyal,43.1112,25.8330,Bulgaria,BG,Veliko Tarnovo,,1052,1043
Gorski Izvor,42.0214,25.4250,Bulgaria,BG,Haskovo,,1046,1046
Stefanovo,43.4833,27.8667,Bulgaria,BG,Dobrich,,1044,1044
Borovo,41.5932,23.7371,Bulgaria,BG,Blagoevgrad,,1043,1043
Cherven Breg,42.3103,23.1742,Bulgaria,BG,Kyustendil,,1039,1025
Snyagovo,42.8470,27.2775,Bulgaria,BG,Burgas,,1039,1039
Krastava,41.9599,23.8208,Bulgaria,BG,Pazardzhik,,1038,1034
Kadievo,42.1314,24.6072,Bulgaria,BG,Plovdiv,,1037,1021
Voysil,42.2167,24.6333,Bulgaria,BG,Plovdiv,,1036,1036
Vresovo,42.8124,27.1985,Bulgaria,BG,Burgas,,1022,1022
Vinitsa,42.1353,25.1363,Bulgaria,BG,Plovdiv,,1018,1018
Mortagonovo,43.5238,26.6439,Bulgaria,BG,Razgrad,,1016,1013
Izvorsko,43.2952,27.7694,Bulgaria,BG,Varna,,1016,1016
Dobroslavtsi,42.8167,23.2833,Bulgaria,BG,Sofia-Grad,,1004,1004
